1,ЗЕЛЕНОДОЛЬСК
2,АЙДАРОВО
3,АКЗИГИТОВО
4,АЛБАБА
5,БЕРНОВЫЕ КОВАЛИ
6,БАКРЧЕ
7,БЕЛО-БЕЗВОДНОЕ
8,БИШБАТМАН
9,БОЛЬШИЕ АЧАСЫРЫ
10,БОЛЬШИЕ КЛЮЧИ
11,БОЛЬШОЙ КУЛЬБАШ
12,БОЛЬШИЕ КУРГУЗИ
13,БОЛЬШИЕ ШИРДАНЫ
14,БОЛЬШИЕ ЯКИ
15,БРИТВИНО
16,БУЗАЕВО
17,БУЛАТОВО
18,ВАСЮКОВО
19,ВОРОНИНО
20,ГОРОДИЩЕ
21,ГРЕМЯЧИЙ КЛЮЧ
22,ГРУЗИНСКИЙ
23,ДУБРОВКА
24,ИВАНОВСКОЕ
25,ИЛЬИНСКОЕ
26,ИСАКОВО
27,КАРАТМЕНЬ
28,КАРАШАМ
29,КЗЫЛ-ТАН
30,КИРЕЕВО
31,КОСЯКОВО
32,КРАСНИЦКИЙ
33,КРАСНО-ОКТЯБРЬСКОЕ Л
34,КРАСНЫЙ КАРМЫШ
35,КРАСНЫЙ ЯР
36,КУБНЯ
37,КУГЕЕВО
38,КУГЕЕВСКОЕ ЛЕСНИЧЕСТ
39,КУГУШЕВО
40,ЛУГОВОЙ
41,ЛУКОВСКОЕ
42,МАЕВКА
43,МАЛЫЕ АЧАСЫРЫ
44,МАЛЫЕ КЛЮЧИ
45,МАЛЫЕ КУРГУЗИ
46,МАЛЫЕ ШИРДАНЫ
47,МАМАДЫШ-АКИЛОВО
48,МИЗИНОВО
49,МОЛВИНО
50,НИЖНИЕ УРАСПУГИ
51,НОВАЯ ТУРА
52,НОВОНИКОЛАЕВКА
53,НОВОПОЛЬСКИЙ
54,НОВОЧУВАШСКИЙ
55,ОРЕХОВКА
56,ПАНОВО
57,ПРИБОЙ
58,ПРОТОПОПОВКА
59,РУССКО-МАРИЙСКИЕ КОВАЛИ
60,РЕМПЛЕР
61,РУССКОЕ ИСЛАМОВО
62,РУССКИЕ НАРАТЛЫ
63,РУССКИЕ ШИРДАНЫ
64,РУССКОЕ АЗЕЛЕЕВО
65,РУССКОЕ ТАНАЕВО
66,САФОНОВО
67,СВЕТЛОЕ ОЗЕРО
68,СЕЛИЩЕ ГОВЯДИНО
69,СЕНТЯК
70,СУНЧЕЛЕЕВО
71,ТАВЛИНО
72,ТАТАРСКОЕ ИСЛАМОВО
73,ТАТАРСКИЕ НАРАТЛЫ
74,ТАТАРСКОЕ АЗЕЛЕЕВО
75,ТАТАРСКОЕ ТАНАЕВО
76,ТЕНИБЯКОВО
77,ТУГАЕВО
78,УРАЗЛА
79,УРНЯК
80,УСПЕНКА
81,УТЯКОВО
82,УТЯНГУШ
83,УТЯШКИ
84,СТ ХОДЯШЕВО
85,ЧИРЮЧИ
86,РАИФСКИЙ
87,ВАСИЛЬЕВО ПГТ
88,НАБЕРЕЖНЫЙ
89,НАРАТ
90,НИЖНИЕ ВЯЗОВЫЕ ПГТ
91,ОКТЯБРЬСКИЙ
92,САДОВЫЙ
93,АЙША
94,БИШНЯ
95,НИКОЛЬСКОЕ
96,НУРЛАТЫ
97,ОСИНОВО
98,РАИФА
99,СВИЯЖСК ост
100,УРМАН
101,КАЗАНЬ
102,НОВОНИКОЛАЕВСКИЙ
103,ВЕРХНИЕ УРАСПУГИ
104,СТ АЛБАБА
105,ФАР РОКВЭЙ ШТАТ НЬЮ-ЙОРК
106,НАБЕРЕЖНЫЕ ЧЕЛНЫ
107,КАЗАНЬ
108,ФБУ ИК-5 ГУФСИН РОССИИ ПО РТ
109,БОЛЬШОЕ ХОДЯШЕВО
110,УТЯШКИ
111,ВОЛЖСК
112,МЕСТЕЧКО РАИФА
113,СТАРЫЕ ШИРДАНЫ
114,СНТ ВАСИЛЬЕВО-1
115,УЛИТИНО
116,ЮРМАЛА
